,revenue_code,revenue_key,gold_run_id,gold_processed_timestamp
0,031X,51d2ee5b755dbfd87dc40e629e296b92f092b252e2472dffe2c6e791d6873f80,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
1,002X,8e34761cd6524fd756580796f74e2762b674ff51c6f0b2adf8a9c4b80a4f09c3,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
2,011X,0f17d3303d76c9662040beb4c6dd464220896de2a467cccab1bf9602cea8f3d8,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
3,310X,395c6ed9281105c954f02bb01ff13d168a937eaac67d1227c3105e4ea9b02935,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
4,040X,3a5805d0446f476467e5c635ba9c2b192e88364fdb913a8a7796856cf6fde743,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
5,013X,8d2dcf4b61bf2f4fc160d078a15803452997116b830c03c430640711621433d8,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
6,052X,ded46e9e35b91063e98b098e79d08c988c99b167bb69f347734a9564b9dbf52c,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
7,069X,ed7b9819feac3ada2f176f8792fd392bf804b88886a37d943fca04ad5556a5b9,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
8,071X,cbce6adb84d30151bb1170f1a167c6f661bb48e10833f7e8796e88dc75fb28ed,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
9,010X,765b1278320fef2932485c9194abf27b8e5190789f4a345a4bcc5ca7395ab762,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
10,099X,d80caa7e7cc6c5ee648c07b8a4829e2c24221ec7748fbc64d7fcf76b76f4c6c8,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
11,080X,a67422b32676f65d79dac370e0042cfd57a134549d7f3571610af70cb51fcbe3,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
12,077X,2401348329dba7b914090a21b4102c8b639d0bfe2b17ec29b371b9b326b6100e,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
13,058X,0d6e4ec91f9f73faed13029dde6cccba4a6985a0af0b5004bc2bb2b680e0f5af,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
14,064X,0824f90dbcfd7e21b599026fb01da816f9bbc0abfa96812d1c5801e1fe93d67f,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
15,029X,f6b6fa1ec159fe065a52b94c8af6290b55f15dc8aaec9e023137e783dda469a3,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
16,023X,57a7b629b57462ec3a559555bf4054f35ca5fc7647e2805f90dbfdb821bd5d77,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
17,079X,ca603c014bc9471b495a34ff7f2ccbc5032a0a8bccdf2b42c63fecffb83ab6ec,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
18,061X,a2f3a86d67f9459bc74453b9f3402590e85a82d6afbe3117d734f993d071fbca,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
19,087X,ea32730fe10dc05830d106bc80736d8f44b9499496ff967769a9158fb8ce26a7,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
20,039X,3982822a5a4a0f0cec7c9cfe4abde16ff702180123f237273551938837b63dbd,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
21,027X,7f14791272a8fdfd6fbf6e53bd88cf4ed4ff7f6e8c0de7a443b0908bc231cc73,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
22,097X,87b0a1e535ce92046f2a5d16eb6b5d06d068233154e4e0918d8c5443e7ee06f1,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
23,049X,e866cbd0f53e76db33e40d45316e1667b8e9a49d26221c2108a363f52e0db3ae,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
24,012X,ff72fcd2f82ac9d9fca6d4f1e57189a7021f9f421f7e1ff946a17c89b6c5d8e8,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
25,091X,4faad9f6406c036345a5ad485e553672d15bfbd27d6e272e0502965e66911535,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
26,098X,88a0b4b90ae0fb11d42e40275d6acd01f201489116c12665cdd8ab5fcf614707,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
27,033X,826e967d008c5e1021ea334da1c286b5bc3f33e7e29d923891755209f31e1313,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
28,096X,33dcb610f2c49e4ba4ba47135c41ed8ea38cd28fe18bb415657beea5e796c564,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
29,036X,b229dd92aab5b0b7142cb94da5d3476912ac066b83f8652a3ee97adac5e4e9cd,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
30,053X,520adb9738de1ccbb9475be820b441125f3bc7a7a07dc2b3dc38979ec91f9620,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
31,094X,d9a547ee51cbf9f09c35476d9c8f55ea62175b46ffdac5e30b9dc2a7295d179b,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
32,018X,9c05bfd7897f33982a1e6a00cea5ca65af28e779f2fa661e21382be588588968,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
33,014X,c9fdcf2eb15a7e4f30aee76553350c9ec2e018c89081ef5c53929e7259db674d,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
34,046X,fb0c7e439ffaa79ed3d79167cfc96623fb224e80ecd7f8d678d6a7e736f78cbf,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
35,0001,888b19a43b151683c87895f6211d9f8640f97bdc8ef32f03dbe057c8f5e56d32,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
36,070X,f32276a50a9b942411e786a327a92d5efaba778959e296a6145a02c86b0322ec,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
37,019X,1e7e9ee3862d551f319419e8a6e812f7eb6ca27b95580f519f3f95c167019e09,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
38,065X,bf7bad4e23cd7ec0cae04f75ec216cb82a5f55821440de2900b4a2c78a074c43,6917fcaa-479e-49bb-8377-053b46efd197,2026-03-01 12:07:10.451902
